Energy,Efficiency,Statistical,Systematic
(MeV),(%),Uncertainty (%),Uncertainty (%)
0.08,0.00758,0.00039,0.000379
0.1,0.03548,0.00084,0.001774
0.12,0.0899,0.00134,0.004495
0.15,0.21246,0.00206,0.010623
0.2,0.45284,0.003,0.022642
0.3,0.90848,0.00424,0.045424
0.4,1.14888,0.00477,0.057444
0.5,1.23324,0.00494,0.061662
0.6,1.2391,0.00495,0.061955
0.8,1.1771,0.00482,0.058855
1,1.10138,0.00467,0.055069
1.2,1.0213,0.0045,0.051065
1.5,0.90964,0.00425,0.045482
2,0.75844,0.00388,0.037922
3,0.54288,0.00329,0.027144
