Energy,Efficiency,Statistical,Systematic
(MeV),(%),Uncertainty (%),Uncertainty (%)
0.08,0.49236,0.00313,0.024618
0.1,1.38156,0.00522,0.069078
0.12,2.21388,0.00658,0.110694
0.15,2.95826,0.00758,0.147913
0.2,3.23736,0.00792,0.161868
0.3,2.8383,0.00743,0.141915
0.4,2.39206,0.00683,0.119603
0.5,2.0908,0.0064,0.10454
0.6,1.86538,0.00605,0.093269
0.8,1.56246,0.00555,0.078123
1,1.37444,0.00521,0.068722
1.2,1.22086,0.00491,0.061043
1.5,1.05682,0.00457,0.052841
2,0.86542,0.00414,0.043271
3,0.61876,0.00351,0.030938
