Energy,Efficiency,Statistical,Systematic
(MeV),(%),Uncertainty (%),Uncertainty (%)
0.08,0.49796,0.00315,0.024898
0.1,1.41604,0.00528,0.070802
0.12,2.24332,0.00662,0.112166
0.15,2.99964,0.00763,0.149982
0.2,3.28568,0.00797,0.164284
0.3,2.86344,0.00746,0.143172
0.4,2.43888,0.0069,0.121944
0.5,2.1136,0.00643,0.10568
0.6,1.89614,0.0061,0.094807
0.8,1.58234,0.00558,0.079117
1,1.38932,0.00523,0.069466
1.2,1.23882,0.00495,0.061941
1.5,1.06644,0.00459,0.053322
2,0.8697,0.00415,0.043485
3,0.62256,0.00352,0.031128
