Energy,Efficiency,Statistical,Systematic
(MeV),(%),Uncertainty (%),Uncertainty (%)
0.06,0.026,0.0051,0.0013
0.08,0.476,0.02182,0.0238
0.1,1.332,0.0365,0.0666
0.12,2.031,0.04507,0.10155
0.15,2.756,0.0525,0.1378
0.2,2.759,0.05253,0.13795
0.3,2.5,0.05,0.125
0.4,2.068,0.04548,0.1034
0.5,1.724,0.04152,0.0862
0.6,1.549,0.03936,0.07745
0.8,1.256,0.03544,0.0628
1,1.144,0.03382,0.0572
1.2,1.021,0.03195,0.05105
1.5,0.924,0.0304,0.0462
1.75,0.726,0.02694,0.0363
2,0.709,0.02663,0.03545
2.5,0.588,0.02425,0.0294
3,0.495,0.02225,0.02475
