Energy,Efficiency,Statistical,Systematic
(MeV),(%),Uncertainty (%),Uncertainty (%)
0.08,0.5071,0.00318,0.025355
0.1,1.48884,0.00542,0.074442
0.12,2.4011,0.00685,0.120055
0.15,3.21248,0.00789,0.160624
0.2,3.5361,0.00826,0.176805
0.3,3.08416,0.00773,0.154208
0.4,2.61554,0.00714,0.130777
0.5,2.27368,0.00667,0.113684
0.6,2.03834,0.00632,0.101917
0.8,1.71988,0.00581,0.085994
1,1.50844,0.00545,0.075422
1.2,1.34304,0.00515,0.067152
1.5,1.16232,0.00479,0.058116
2,0.95896,0.00436,0.047948
3,0.6742,0.00366,0.03371
