Energy,Efficiency,Statistical,Systematic
(MeV),(%),Uncertainty (%),Uncertainty (%)
0.08,0.48002,0.00309,0.024001
0.1,1.36536,0.00519,0.068268
0.12,2.1847,0.00654,0.109235
0.15,2.91612,0.00752,0.145806
0.2,3.19058,0.00786,0.159529
0.3,2.788,0.00736,0.1394
0.4,2.36314,0.00679,0.118157
0.5,2.0584,0.00635,0.10292
0.6,1.83716,0.00601,0.091858
0.8,1.55518,0.00553,0.077759
1,1.35558,0.00517,0.067779
1.2,1.22134,0.00491,0.061067
1.5,1.06912,0.0046,0.053456
2,0.86162,0.00413,0.043081
3,0.61686,0.0035,0.030843
