Energy,Efficiency,Statistical,Systematic
(MeV),(%),Uncertainty (%),Uncertainty (%)
0.08,0.33338,0.00258,0.016669
0.1,0.97318,0.00439,0.048659
0.12,1.57766,0.00557,0.078883
0.15,2.12594,0.00645,0.106297
0.2,2.35234,0.00678,0.117617
0.3,2.09446,0.0064,0.104723
0.4,1.78554,0.00592,0.089277
0.5,1.56352,0.00555,0.078176
0.6,1.40812,0.00527,0.070406
0.8,1.19388,0.00486,0.059694
1,1.05056,0.00456,0.052528
1.2,0.94088,0.00432,0.047044
1.5,0.81694,0.00403,0.040847
2,0.68528,0.00369,0.034264
3,0.48776,0.00312,0.024388
