Energy,Efficiency,Statistical,Systematic
(MeV),(%),Uncertainty (%),Uncertainty (%)
0.08,0.01514,0.00055,0.000757
0.1,0.07892,0.00126,0.003946
0.12,0.19526,0.00197,0.009763
0.15,0.45156,0.003,0.022578
0.2,0.92674,0.00429,0.046337
0.3,1.44088,0.00533,0.072044
0.4,1.49104,0.00542,0.074552
0.5,1.4349,0.00532,0.071745
0.6,1.3324,0.00513,0.06662
0.8,1.17342,0.00482,0.058671
1,1.0509,0.00456,0.052545
1.2,0.96206,0.00437,0.048103
1.5,0.83922,0.00408,0.041961
2,0.67832,0.00367,0.033916
3,0.4854,0.00311,0.02427
